passenger_id,pclass,sex,age,fare,embarked,survived
699,3,male,38.0,8.6625,S,0
1267,3,female,30.0,24.15,S,0
449,2,female,54.0,23.0,S,1
576,2,male,40.0,13.0,S,0
1083,3,male,28.0,22.525,S,0
898,3,male,19.0,0.0,S,0
560,2,female,30.0,13.0,S,1
1079,3,female,22.0,7.775,S,1
908,3,female,21.0,9.825,S,0
313,1,male,27.0,211.5,C,0
43,1,female,60.0,76.2917,C,1
233,1,female,56.0,83.1583,C,1
446,2,female,20.0,23.0,S,1
602,3,male,16.0,20.25,S,0
884,3,male,48.0,7.8542,S,0
497,2,male,40.0,16.0,S,0
36,1,female,22.0,55.0,S,1
1088,3,male,32.0,7.775,S,1
978,3,male,27.0,8.6625,S,1
438,2,female,24.0,65.0,S,1
766,3,male,25.0,7.8958,S,0
661,3,female,18.0,8.05,S,1
556,2,male,27.0,26.0,S,0
1008,3,female,35.0,7.75,Q,0
575,2,female,27.0,21.0,S,0
162,1,male,42.0,52.0,S,0
737,3,male,19.0,8.1583,S,0
420,2,male,21.0,11.5,S,0
601,3,male,13.0,20.25,S,0
877,3,female,27.0,7.925,S,0
249,1,male,13.0,262.375,C,1
407,2,female,29.0,26.0,S,1
1169,3,male,38.5,7.25,S,0
275,1,female,40.0,134.5,C,1
87,1,male,27.0,30.5,S,1
148,1,male,45.0,83.475,S,0
1239,3,male,34.0,8.05,S,0
689,3,male,22.0,7.25,S,0
330,2,male,57.0,13.0,S,0
540,2,female,2.0,26.0,S,1
139,1,female,58.0,153.4625,S,1
1148,3,male,35.0,7.125,S,0
817,3,male,22.0,8.05,S,0
142,1,male,46.0,79.2,C,0
570,2,female,50.0,10.5,S,1
55,1,female,14.0,120.0,S,1
50,1,female,58.0,512.3292,C,1
447,2,male,23.0,11.5,S,0
173,1,male,32.5,211.5,C,0
719,3,male,18.0,8.05,S,1
273,1,male,6.0,134.5,C,1
710,3,female,37.0,7.75,Q,0
762,3,male,1.0,20.575,S,1
950,3,male,29.0,9.4833,S,0
268,1,male,24.0,60.0,S,0
355,2,female,36.0,13.0,S,1
504,2,male,39.0,13.0,S,0
57,1,female,36.0,120.0,S,1
712,3,male,24.0,8.05,S,0
600,3,male,42.0,7.55,S,0
821,3,male,33.0,20.525,S,0
634,3,male,26.0,7.8958,S,0
970,3,male,20.0,7.925,S,1
1093,3,male,16.0,9.2167,S,0
848,3,male,41.0,14.1083,S,0
182,1,female,30.0,106.425,C,1
185,1,male,42.0,26.55,S,0
716,3,male,26.0,14.4542,C,0
722,3,male,24.0,7.4958,S,0
744,3,male,19.0,10.1708,S,0
1091,3,female,20.0,8.6625,S,0
1139,3,male,38.0,7.8958,S,0
824,3,male,38.0,7.05,S,0
296,1,female,39.0,110.8833,C,1
708,3,male,24.0,7.8542,S,0
698,3,male,18.0,8.6625,S,0
938,3,male,18.0,7.8542,S,0
150,1,male,40.0,0.0,S,0
1304,3,female,14.5,14.4542,C,0
793,3,male,47.0,7.25,S,0
704,3,male,21.0,8.05,S,0
399,2,male,42.0,32.5,S,0
1228,3,male,31.0,7.925,S,1
448,2,male,36.0,13.0,S,0
761,3,male,16.0,9.5,S,0
385,2,male,8.0,36.75,S,1
496,2,male,30.0,13.0,S,0
229,1,female,17.0,108.9,C,1
170,1,male,49.0,0.0,S,1
947,3,female,22.0,7.25,S,1
668,3,male,22.0,8.05,S,0
1237,3,male,24.0,7.7958,S,0
764,3,male,26.0,20.575,S,0
654,3,male,20.0,7.225,C,0
181,1,female,49.0,25.9292,S,1
1129,3,male,25.0,7.775,S,0
337,2,female,19.0,26.0,S,1
329,2,female,36.0,26.0,S,1
405,2,male,18.0,13.0,S,0
98,1,female,48.0,106.425,C,1
558,2,female,18.0,13.0,S,1
1130,3,female,18.0,7.775,S,0
309,1,female,31.0,164.8667,S,1
202,1,male,36.0,26.2875,S,1
827,3,male,11.0,46.9,S,0
186,1,female,55.0,27.7208,C,1
960,3,male,34.5,6.4375,C,0
408,2,male,18.0,10.5,S,0
546,2,female,28.0,13.0,S,1
356,2,male,25.0,13.0,S,0
1307,3,male,27.0,7.225,C,0
1049,3,male,20.0,15.7417,C,1
86,1,male,51.0,26.55,S,1
343,2,male,34.0,13.0,S,1
896,3,male,49.0,0.0,S,0
419,2,male,21.0,11.5,S,0
433,2,male,30.0,10.5,S,0
68,1,male,45.0,29.7,C,1
763,3,female,0.1667,20.575,S,1
782,3,male,65.0,7.75,Q,0
228,1,male,18.0,108.9,C,0
850,3,male,21.0,7.8542,S,0
751,3,male,25.0,7.8958,S,0
1301,3,male,45.5,7.225,C,0
508,2,male,54.0,14.0,S,0
83,1,female,64.0,26.55,S,1
592,2,male,36.0,27.75,S,0
814,3,male,25.0,7.7417,Q,0
1272,3,male,47.0,9.0,S,0
1111,3,male,0.75,13.775,S,0
138,1,male,38.0,153.4625,S,0
720,3,male,24.0,7.25,Q,0
193,1,female,15.0,211.3375,S,1
870,3,female,27.0,7.925,S,1
180,1,female,39.0,211.3375,S,1
485,2,male,36.0,12.875,C,0
949,3,male,26.0,56.4958,S,1
14,1,male,80.0,30.0,S,1
3,1,male,30.0,151.55,S,0
1281,3,male,22.0,9.0,S,0
624,3,female,2.0,31.275,S,0
868,3,male,43.0,6.45,S,0
327,2,male,25.0,10.5,S,0
211,1,male,47.0,42.4,S,0
549,2,male,3.0,18.75,S,1
673,3,male,20.0,4.0125,C,0
525,2,male,23.0,10.5,S,0
1068,3,male,61.0,6.2375,S,0
741,3,male,22.5,7.225,C,0
395,2,female,18.0,23.0,S,1
1108,3,male,19.0,14.5,S,0
735,3,female,36.0,15.9,S,1
1097,3,male,6.0,21.075,S,0
1145,3,male,8.0,29.125,Q,0
831,3,male,40.0,46.9,S,0
128,1,male,47.0,38.5,S,0
797,3,male,40.5,7.75,Q,0
825,3,male,9.0,46.9,S,0
12,1,female,24.0,69.3,C,1
1207,3,male,10.0,27.9,S,0
159,1,female,16.0,57.9792,C,1
1294,3,male,28.5,16.1,S,0
1141,3,male,10.0,29.125,Q,0
131,1,female,45.0,59.4,C,1
424,2,male,30.0,13.0,S,0
1222,3,male,33.0,8.6625,C,0
344,2,female,19.0,13.0,S,1
844,3,male,28.0,15.85,S,0
1066,3,male,28.5,7.2292,C,0
1144,3,male,2.0,29.125,Q,0
19,1,male,36.0,75.2417,C,0
1299,3,male,27.0,14.4542,C,0
27,1,female,19.0,91.0792,C,1
53,1,male,17.0,47.1,S,0
596,2,male,31.0,13.0,S,1
236,1,male,22.0,135.6333,C,0
300,1,male,61.0,33.5,S,0
1275,3,male,16.0,18.0,S,0
1187,3,female,1.0,16.7,S,1
21,1,female,47.0,52.5542,S,1
112,1,female,28.0,263.0,S,1
149,1,female,35.0,83.475,S,1
10,1,male,47.0,227.525,C,0
230,1,female,30.0,93.5,S,1
1098,3,female,3.0,21.075,S,0
713,3,male,21.0,7.7333,Q,0
200,1,male,46.0,75.2417,C,0
541,2,female,8.0,26.0,S,1
1279,3,female,14.0,7.8542,S,0
381,2,female,30.0,13.0,S,0
451,2,male,44.0,26.0,S,0
5,1,male,48.0,26.55,S,1
907,3,female,20.0,9.825,S,0
115,1,male,64.0,263.0,S,0
548,2,male,0.8333,18.75,S,1
124,1,female,48.0,79.2,C,1
317,1,male,21.0,61.3792,C,1
538,2,male,30.0,12.7375,C,1
324,2,female,28.0,24.0,C,1
663,3,male,26.0,7.8958,S,0
100,1,male,49.0,56.9292,C,1
498,2,male,32.0,13.5,S,0
56,1,male,36.0,120.0,S,1
937,3,female,1.0,12.1833,S,0
1147,3,female,22.0,39.6875,S,0
391,2,male,29.0,27.7208,C,0
362,2,female,35.0,21.0,S,1
155,1,female,52.0,93.5,S,1
325,2,male,30.0,13.0,S,0
773,3,male,42.0,8.6625,S,0
753,3,male,22.0,8.05,S,0
1181,3,male,24.0,9.325,S,0
209,1,male,30.0,57.75,C,1
618,3,male,35.0,8.05,S,0
1102,3,male,7.0,39.6875,S,0
968,3,male,36.0,15.55,S,0
1191,3,male,20.0,8.05,S,0
393,2,male,25.0,31.5,S,0
652,3,male,23.0,7.8542,S,0
506,2,male,70.0,10.5,S,0
1230,3,female,2.0,10.4625,S,0
1273,3,female,18.0,18.0,S,0
1100,3,female,29.0,21.075,S,0
379,2,female,31.0,26.25,S,1
643,3,female,5.0,31.3875,S,1
258,1,female,30.0,31.0,C,1
966,3,female,25.0,7.775,S,0
307,1,male,21.0,77.2875,S,0
2,1,female,2.0,151.55,S,0
687,3,female,20.0,7.8542,S,0
479,2,female,3.0,41.5792,C,1
914,3,male,33.0,7.8542,S,0
1240,3,male,0.4167,8.5167,C,1
476,2,male,30.0,26.0,S,0
321,1,male,62.0,26.55,S,0
456,2,female,60.0,26.0,S,0
136,1,male,53.0,28.5,C,1
604,3,female,16.0,7.65,S,1
1218,3,male,30.0,8.05,S,0
1119,3,male,22.0,7.25,S,0
224,1,male,45.5,28.5,S,0
499,2,male,30.0,13.0,S,0
1127,3,male,19.0,7.8958,S,0
703,3,male,21.0,7.75,Q,0
656,3,female,33.0,15.85,S,1
897,3,male,33.0,7.775,S,0
288,1,female,48.0,25.9292,S,1
195,1,female,16.0,86.5,S,1
250,1,female,18.0,262.375,C,1
662,3,male,40.0,7.225,C,0
423,2,male,34.0,13.0,S,0
620,3,male,32.0,22.525,S,0
1269,3,male,33.0,9.5,S,0
904,3,male,23.0,7.8958,S,0
632,3,female,39.0,31.275,S,0
1096,3,male,2.0,21.075,S,0
25,1,male,25.0,26.0,C,0
77,1,male,37.0,83.1583,C,0
799,3,male,18.0,7.7958,S,0
334,2,male,28.0,10.5,S,0
787,3,male,16.0,7.775,S,0
392,2,female,24.0,27.7208,C,1
1270,3,male,28.0,9.5,S,0
169,1,female,50.0,28.7125,C,0
700,3,male,17.0,8.6625,S,0
822,3,male,41.0,7.85,S,0
1060,3,female,18.0,7.775,S,1
969,3,female,30.0,15.55,S,0
231,1,male,52.0,30.5,S,1
846,3,male,20.0,9.5,S,0
460,2,female,24.0,27.0,S,1
66,1,female,36.0,262.375,C,1
631,3,male,26.0,7.775,S,0
609,3,male,26.0,8.05,S,0
845,3,female,24.0,15.85,S,1
222,1,male,28.5,27.7208,C,0
234,1,male,38.0,0.0,S,0
511,2,male,62.0,9.6875,Q,0
215,1,male,58.0,113.275,C,0
925,3,male,44.0,8.05,S,0
32,1,female,30.0,164.8667,S,1
701,3,male,17.0,8.6625,S,0
332,2,male,23.0,10.5,S,0
127,1,female,35.0,53.1,S,1
979,3,male,51.0,7.0542,S,0
539,2,male,27.0,15.0333,C,0
267,1,male,56.0,30.6958,C,0
501,2,female,13.0,19.5,S,1
606,3,male,20.0,7.925,S,1
585,2,male,27.0,26.0,S,0
588,2,female,4.0,23.0,S,1
1157,3,male,18.0,20.2125,S,0
599,2,female,24.0,13.0,S,0
990,3,male,29.0,7.925,S,0
251,1,female,21.0,262.375,C,1
823,3,female,31.0,20.525,S,1
1051,3,male,33.0,8.05,S,0
919,3,male,18.5,7.2292,C,0
23,1,female,42.0,227.525,C,1
54,1,male,11.0,120.0,S,1
216,1,female,19.0,26.2833,S,1
1046,3,male,22.0,7.8958,S,0
151,1,male,27.0,76.7292,C,1
192,1,female,58.0,146.5208,C,1
779,3,female,24.0,7.75,Q,0
694,3,male,19.0,6.75,Q,0
105,1,female,36.0,31.6792,C,0
1031,3,male,34.0,8.05,S,0
513,2,female,14.0,30.0708,C,1
811,3,female,48.0,34.375,S,0
536,2,female,32.0,13.0,S,1
416,2,male,16.0,26.0,S,0
247,1,female,54.0,59.4,C,1
427,2,male,0.6667,14.5,S,1
695,3,female,18.0,7.8792,Q,0
1087,3,male,28.0,7.8542,S,0
17,1,female,50.0,247.5208,C,1
93,1,male,53.0,81.8583,S,1
406,2,male,40.0,26.0,S,0
578,2,male,30.0,21.0,S,0
633,3,male,20.0,7.8542,S,0
839,3,male,19.0,7.775,S,0
755,3,male,17.0,8.05,S,0
649,3,male,23.0,7.05,S,0
769,3,male,22.0,7.25,S,0
1075,3,male,23.0,9.225,S,0
894,3,male,4.0,11.1333,S,1
146,1,female,49.0,76.7292,C,1
785,3,female,22.0,13.9,S,1
733,3,male,9.0,15.9,S,1
441,2,female,55.0,16.0,S,1
664,3,male,20.0,7.2292,C,1
838,3,male,28.0,7.925,S,0
628,3,female,11.0,31.275,S,0
651,3,male,30.0,7.225,C,0
696,3,female,21.0,8.6625,S,0
740,3,male,17.0,8.6625,S,0
1171,3,male,14.5,69.55,S,0
390,2,male,17.0,73.5,S,0
972,3,male,28.0,56.4958,S,0
35,1,female,45.0,262.375,C,1
282,1,female,52.0,78.2667,C,1
440,2,female,48.0,65.0,S,1
439,2,male,49.0,65.0,S,0
554,2,male,26.0,13.0,S,0
934,3,female,4.0,22.025,S,1
932,3,female,22.0,8.6625,S,0
544,2,male,34.0,21.0,S,0
95,1,female,54.0,81.8583,S,1
1015,3,male,55.5,8.05,S,0
354,2,male,25.0,26.0,S,0
305,1,male,60.0,26.55,S,0
723,3,male,31.0,7.7333,Q,0
488,2,male,50.0,26.0,S,0
611,3,male,0.8333,9.35,S,1
605,3,male,25.0,7.65,S,1
30,1,male,45.0,35.5,S,0
636,3,female,18.0,17.8,S,0
1286,3,female,38.0,7.2292,C,1
475,2,female,26.0,26.0,S,0
841,3,female,17.0,7.7333,Q,0
862,3,female,22.0,8.9625,S,1
828,3,female,10.0,46.9,S,0
265,1,male,28.0,35.5,S,1
285,1,male,67.0,221.7792,S,0
667,3,female,27.0,7.8792,Q,0
1238,3,male,25.0,7.7958,S,1
1274,3,male,31.0,18.0,S,0
45,1,male,45.0,26.55,S,0
627,3,female,9.0,31.275,S,0
721,3,male,36.0,7.4958,S,0
676,3,male,18.0,7.75,S,0
434,2,female,7.0,26.25,S,1
270,1,female,18.0,60.0,S,1
76,1,female,39.0,83.1583,C,1
340,2,female,4.0,39.0,S,1
593,2,female,33.0,27.75,S,1
458,2,female,17.0,10.5,S,1
1146,3,female,39.0,29.125,Q,0
1026,3,female,27.0,12.475,S,1
486,2,male,24.0,10.5,S,0
502,2,female,41.0,19.5,S,1
655,3,male,32.0,15.85,S,0
615,3,male,20.0,7.925,S,0
85,1,female,38.0,71.2833,C,1
164,1,male,35.0,26.55,C,1
409,2,male,36.0,13.0,S,0
746,3,male,29.0,7.75,Q,1
851,3,female,45.0,14.1083,S,1
1227,3,female,22.0,9.8375,S,0
777,3,male,19.0,8.05,S,1
610,3,female,40.0,9.475,S,0
743,3,female,22.0,10.5167,S,0
603,3,female,35.0,20.25,S,1
1190,3,male,25.0,9.5,S,1
279,1,male,62.0,26.55,S,0
728,3,male,43.0,8.05,S,0
551,2,female,50.0,10.5,S,1
132,1,male,24.0,79.2,C,0
453,2,male,21.0,73.5,S,0
642,3,male,13.0,31.3875,S,0
396,2,female,34.0,23.0,S,1
714,3,male,32.0,56.4958,S,1
653,3,female,13.0,7.2292,C,1
936,3,female,26.0,22.025,S,1
357,2,male,42.0,13.0,S,0
791,3,male,17.0,7.2292,C,0
1126,3,female,28.0,7.8958,S,0
110,1,male,30.0,27.75,C,0
1065,3,male,21.0,7.8,S,0
426,2,male,30.0,13.0,S,0
455,2,male,63.0,26.0,S,0
34,1,male,42.0,26.55,S,0
707,3,male,28.0,7.7958,S,0
732,3,male,30.0,8.05,S,0
463,2,male,22.0,31.5,S,0
1220,3,male,32.0,8.05,S,0
81,1,male,70.0,71.0,S,0
834,3,male,32.0,8.3625,S,0
373,2,female,28.0,26.0,S,1
677,3,male,26.0,7.8958,S,0
671,3,male,22.0,9.35,S,0
4,1,female,25.0,151.55,S,0
1231,3,female,29.0,10.4625,S,0
1156,3,female,2.0,20.2125,S,0
471,2,female,45.0,13.5,S,1
635,3,male,25.0,17.8,S,0
1153,3,female,47.0,14.5,S,0
749,3,female,28.0,14.4,S,0
445,2,female,18.0,13.0,S,0
587,2,male,2.0,23.0,S,1
52,1,male,28.0,47.1,S,0
830,3,male,14.0,46.9,S,0
245,1,female,33.0,86.5,S,1
278,1,male,32.0,30.5,C,1
616,3,male,24.0,7.05,S,0
221,1,male,65.0,61.9792,C,0
1278,3,male,20.0,7.8542,S,0
117,1,female,30.0,56.9292,C,1
191,1,male,30.0,45.5,S,0
675,3,male,21.0,7.775,S,0
1118,3,male,25.0,7.925,S,0
567,2,male,25.0,10.5,S,0
790,3,male,39.0,7.2292,C,0
711,3,male,28.0,7.25,S,0
985,3,male,24.0,7.1417,S,1
623,3,female,6.0,31.275,S,0
380,2,female,22.0,10.5,S,1
890,3,male,22.0,7.7958,S,0
1165,3,male,25.0,7.225,C,0
172,1,male,50.0,26.0,S,0
1104,3,male,16.0,39.6875,S,0
521,2,female,29.0,10.5,S,1
472,2,male,57.0,12.35,Q,0
916,3,female,4.0,13.4167,C,1
370,2,female,25.0,30.0,S,1
207,1,female,33.0,90.0,Q,1
422,2,male,24.0,13.0,S,0
442,2,male,24.0,73.5,S,0
122,1,female,22.0,49.5,C,1
212,1,male,37.0,29.7,C,0
494,2,female,24.0,37.0042,C,1
963,3,male,36.0,0.0,S,0
389,2,male,32.0,13.0,S,0
1209,3,female,2.0,27.9,S,0
1056,3,male,12.0,11.2417,C,1
375,2,male,28.0,13.0,S,0
1067,3,female,22.0,7.75,S,1
404,2,male,21.0,13.0,S,0
739,3,male,44.0,16.1,S,0
1257,3,female,9.0,15.2458,C,1
650,3,female,17.0,14.4583,C,0
1300,3,female,15.0,14.4542,C,1
547,2,male,23.0,15.0458,C,0
175,1,male,41.0,51.8625,S,0
349,2,female,24.0,13.0,S,1
376,2,male,24.0,10.5,S,1
1025,3,male,6.0,12.475,S,1
378,2,male,31.0,26.25,S,0
1236,3,male,14.0,9.225,S,1
951,3,male,29.0,7.775,S,0
394,2,male,18.0,73.5,S,0
861,3,female,23.0,7.925,S,0
452,2,female,29.0,26.0,S,1
1152,3,male,50.0,14.5,S,0
792,3,male,15.0,7.2292,C,0
515,2,male,3.0,26.0,S,1
319,1,female,31.0,134.5,C,1
286,1,female,63.0,221.7792,S,0
924,3,male,34.5,7.8292,Q,0
415,2,female,34.0,13.0,S,1
1201,3,male,22.0,7.2292,C,0
553,2,female,21.0,10.5,S,1
911,3,male,21.0,8.4333,S,0
878,3,female,25.0,7.925,S,0
336,2,male,32.0,26.0,S,1
641,3,male,3.0,31.3875,S,1
520,2,male,20.0,13.8625,C,1
79,1,female,55.0,25.7,S,1
153,1,female,24.0,83.1583,C,1
1266,3,male,36.0,24.15,S,0
975,3,female,26.0,16.1,S,0
73,1,female,22.0,151.55,S,1
514,2,male,2.0,26.0,S,1
863,3,male,28.0,7.8958,S,0
11,1,female,18.0,227.525,C,1
583,2,female,40.0,15.75,S,1
630,3,male,27.0,7.7958,S,1
995,3,male,35.0,7.8958,C,0
1271,3,male,28.0,9.5,S,0
326,2,male,18.0,11.5,S,0
96,1,male,50.0,106.425,C,0
1234,3,male,25.0,7.05,S,0
480,2,male,25.0,41.5792,C,0
1089,3,male,20.0,9.225,S,0
638,3,male,35.0,7.05,S,0
160,1,female,44.0,57.9792,C,1
688,3,male,29.0,7.0458,S,0
322,1,female,36.0,135.6333,C,1
398,2,male,8.0,32.5,S,1
1058,3,female,29.0,7.925,S,0
1082,3,male,9.0,3.1708,S,1
965,3,male,24.0,9.5,S,0
591,2,female,5.0,27.75,S,1
905,3,male,32.0,7.8542,S,1
359,2,male,0.8333,29.0,S,1
1259,3,male,36.0,7.8958,S,0
214,1,female,23.0,113.275,C,1
881,3,male,21.0,7.7958,S,1
679,3,female,9.0,15.2458,C,0
849,3,male,26.0,7.8542,S,0
629,3,male,39.0,31.275,S,0
691,3,male,35.0,8.05,S,0
388,2,female,28.0,13.0,S,1
143,1,male,25.0,55.4417,C,1
374,2,male,29.0,10.5,S,0
120,1,male,43.0,27.7208,C,1
1010,3,male,24.0,16.1,S,0
770,3,male,36.0,7.25,S,0
859,3,female,18.0,6.75,Q,0
880,3,male,29.0,7.8958,C,1
310,1,male,57.0,164.8667,S,0
683,3,male,40.0,15.5,Q,0
730,3,male,27.0,7.8958,S,0
981,3,male,32.0,7.5792,S,1
996,3,male,33.0,7.8958,S,0
450,2,male,50.0,13.0,S,0
1084,3,male,42.0,8.4042,S,0
210,1,male,55.0,30.5,S,0
864,3,female,28.0,7.775,S,0
203,1,male,28.0,82.1708,C,0
759,3,female,36.0,17.4,S,1
29,1,male,28.0,26.55,S,1
213,1,female,31.0,113.275,C,1
674,3,male,32.0,56.4958,S,1
697,3,female,30.0,8.6625,S,0
129,1,female,35.0,211.5,C,1
353,2,female,20.0,26.0,S,1
1086,3,female,31.0,7.8542,S,0
586,2,female,29.0,26.0,S,1
116,1,female,60.0,263.0,S,1
867,3,female,22.0,12.2875,S,1
348,2,male,27.0,13.0,S,0
1205,3,female,18.0,7.4958,S,1
314,1,female,50.0,211.5,C,1
607,3,female,18.0,7.2292,C,1
715,3,male,29.0,8.05,S,0
1217,3,male,19.0,7.65,S,0
1182,3,female,21.0,7.65,S,1
1233,3,male,44.0,7.925,S,1
481,2,female,22.0,41.5792,C,1
889,3,male,26.0,7.775,S,1
1131,3,male,32.0,8.05,S,1
39,1,male,48.0,50.4958,C,0
225,1,male,23.0,93.5,S,0
1235,3,male,74.0,7.775,S,0
1062,3,male,21.0,7.8542,S,0
1024,3,male,25.0,7.65,S,0
669,3,male,19.0,8.05,S,0
226,1,male,29.0,66.6,S,0
584,2,female,32.5,13.0,S,1
188,1,female,51.0,39.4,S,1
263,1,female,39.0,55.9,S,1
372,2,male,29.0,26.0,S,0
776,3,male,32.0,7.75,Q,0
18,1,female,32.0,76.2917,C,1
198,1,female,18.0,53.1,S,1
26,1,male,25.0,91.0792,C,1
262,1,male,50.0,55.9,S,0
729,3,male,35.0,7.8958,S,0
42,1,female,59.0,51.4792,S,1
1143,3,male,7.0,29.125,Q,0
91,1,male,31.0,57.0,S,1
1,1,male,0.9167,151.55,S,1
809,3,male,18.0,34.375,S,0
726,3,female,30.0,7.6292,Q,0
257,1,female,35.0,57.75,C,1
561,2,male,59.0,13.5,S,0
731,3,male,19.0,7.8958,S,0
24,1,female,29.0,221.7792,S,1
1050,3,female,19.0,15.7417,C,1
648,3,male,21.0,7.225,C,0
1298,3,male,36.0,9.5,S,0
13,1,female,26.0,78.85,S,1
562,2,female,30.0,12.35,Q,1
64,1,male,27.0,53.1,S,1
1133,3,male,17.0,8.6625,S,0
1160,3,male,50.0,8.05,S,0
82,1,female,36.0,71.0,S,1
912,3,male,30.0,7.8958,S,0
161,1,female,51.0,77.9583,S,1
308,1,female,55.0,135.6333,C,1
582,2,female,12.0,15.75,S,1
154,1,male,55.0,93.5,S,0
1011,3,female,19.0,16.1,S,0
246,1,male,55.0,59.4,C,0
1260,3,female,18.0,9.8417,S,1
564,2,female,40.0,13.0,S,1
255,1,female,24.0,69.3,C,1
829,3,female,16.0,46.9,S,0
183,1,male,35.0,512.3292,C,1
444,2,male,21.0,73.5,S,0
304,1,female,60.0,75.25,C,1
8,1,female,53.0,51.4792,S,1
778,3,female,30.0,12.475,S,1
49,1,male,36.0,512.3292,C,1
465,2,female,23.0,13.7917,C,1
1101,3,male,1.0,39.6875,S,0
909,3,male,32.0,7.925,S,1
941,3,male,25.0,7.2292,C,1
418,2,male,47.0,10.5,S,0
1287,3,male,51.0,7.75,S,0
748,3,male,34.0,14.4,S,0
312,1,male,50.0,211.5,C,0
1206,3,male,4.0,27.9,S,0
1226,3,male,19.0,7.8958,S,0
261,1,male,35.0,26.2875,S,1
466,2,male,34.0,26.0,S,0
1210,3,male,40.0,27.9,S,0
464,2,male,32.0,10.5,S,0
577,2,female,31.0,21.0,S,1
1045,3,male,18.0,7.75,S,0
820,3,male,9.0,20.525,S,1
243,1,male,46.0,79.2,C,0
1306,3,male,26.5,7.225,C,0
239,1,male,31.0,50.4958,S,0
386,2,male,18.0,73.5,S,0
532,2,male,41.0,13.0,S,0
754,3,male,21.0,24.15,S,0
855,3,male,11.0,18.7875,C,0
1188,3,female,24.0,16.7,S,1
693,3,male,21.0,7.8208,Q,1
253,1,female,48.0,262.375,C,1
892,3,male,31.0,7.775,S,0
94,1,male,4.0,81.8583,S,1
104,1,female,54.0,78.2667,C,1
217,1,male,64.0,26.0,S,0
306,1,male,54.0,77.2875,S,0
487,2,male,61.0,12.35,Q,0
61,1,female,76.0,78.85,S,1
345,2,male,23.0,13.0,S,0
102,1,female,23.0,83.1583,C,1
333,2,female,36.0,13.0,S,1
62,1,male,46.0,61.175,S,0
1256,3,male,7.0,15.2458,C,1
208,1,female,37.0,90.0,Q,1
709,3,female,16.0,7.75,Q,1
1288,3,male,18.0,6.4958,S,0
165,1,male,38.0,90.0,S,1
158,1,male,55.0,50.0,S,0
174,1,male,58.0,29.7,C,0
467,2,female,24.0,26.0,S,1
1112,3,female,3.0,13.775,S,0
425,2,male,52.0,13.0,S,0
